Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Norm.Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF,Mean.Activity.n.3..UHTS,SE.UHTS,Max.Activity.UHTS
23558,42.1,50.1,63.1,63.1,51.8,8.7,5.004315858,47.97,1.62,85.39
41262,391,289.6,358.1,391,346.2,42.2,24.37742398,165.18,5.72,380.83
46207,134.8,127.2,126,134.8,129.3,3.9,2.236059463,48.16,2.53,30.33
116748,-4.9,1.2,-1.8,1.2,-1.8,2.5,1.438965907,104.21,14.66,218.32
126469,183.7,192.3,172.2,192.3,182.7,8.2,4.761925084,42.74,4.68,211.93
201082,283,244.8,257.4,283,261.7,15.9,9.178560766,140.96,3.19,167.93
215450,89,85.8,79.9,89,84.9,3.7,2.159026481,43.52,1.35,54.4
219103,15.1,23.3,19.6,23.3,19.3,3.3,1.922919242,100.27,4.89,83.68
501797,172.7,233.1,231,233.1,212.3,28,16.18136158,113.57,8.6,111.53
502593,141.8,144.2,130.9,144.2,139,5.8,3.33425352,64.5,3.52,222.56
590876,74.7,96,84.1,96,84.9,8.7,5.040131463,98.73,4.45,74.71
601224,41.2,42.7,45,45,43,1.6,0.911408461,243.73,8.83,454.35
770145,126.3,104.9,107.8,126.3,113,9.5,5.474270087,54.18,1.63,82.33
824195,350,351.1,319.2,351.1,340.1,14.8,8.523276653,118.56,0.21,219.11
830027,915.3,1039.9,1043.2,1043.2,999.5,59.5,34.36630317,744.81,1.45,1206.95
830028,107.6,134.8,135.6,135.6,126,13,7.51356121,65.48,1.49,72.57
830034,133.6,139.8,132.7,139.8,135.4,3.1,1.817419766,55.79,0.92,95.05
830197,106.3,129.8,120.1,129.8,118.7,9.6,5.557044416,79.59,3.19,85.25
830202,110.3,100.1,101.7,110.3,104,4.5,2.584948043,42.26,0.87,64.65
830204,152.7,160.5,152.6,160.5,155.2,3.7,2.130746072,55.99,2.47,26.56
885092,128.7,131.4,133.3,133.3,131.1,1.9,1.077592472,42.54,4.24,50.12
1021837,54.7,57.4,59.8,59.8,57.3,2.1,1.212270743,38.83,1.27,24.15
1021867,94.4,103.6,111.3,111.3,103.1,6.9,3.989089984,43.67,0.58,26.17
1022121,170.9,172.8,165.9,172.8,169.9,2.9,1.68144398,42.07,1.18,51.83
1022180,205.4,218.4,249.8,249.8,224.6,18.6,10.75970646,100.37,1.45,116.56
1022311,141.3,131.8,139.5,141.3,137.6,4.1,2.381091564,42.37,1.1,38.95
1063001,19.3,18,18.3,19.3,18.5,0.6,0.32254833,100.1,3.59,110.5
1072862,317.3,351,353.7,353.7,340.7,16.6,9.571977997,172.17,8.01,194.47
1072868,133.3,137.6,140.2,140.2,137,2.8,1.628415459,61.85,5.13,53.03
1072872,89.3,89.8,87.3,89.8,88.8,1.1,0.64325301,45.85,17.19,27.99
1072879,189.1,145.2,153.2,189.1,162.5,19.1,11.01531431,77.18,3.49,67.46
1073644,151.4,187.1,186.5,187.1,175,16.7,9.647147126,70.48,1.97,144.13
1096636,1.9,4.3,3.1,4.3,3.1,1,0.559227093,112.58,21.07,166.23
1138704,108.7,139.3,131.9,139.3,126.6,13,7.520164075,120.26,2.82,124.02
1140871,91.9,74.8,72.9,91.9,79.9,8.6,4.946131552,54.5,3.4,28.73
1154331,53.2,93.2,99.8,99.8,82.1,20.6,11.88357431,34.95,1.71,60.12
1194250,369.5,320.3,306.9,369.5,332.2,26.9,15.53675861,62.35,1.78,80.96
1195216,9.6,13.1,16.4,16.4,13,2.8,1.591987026,51.76,0.94,35.43
1233109,90.9,65.2,62.1,90.9,72.7,12.9,7.438192272,36.95,1.88,53.87
1233291,91.1,109.8,120.3,120.3,107.1,12.1,6.966943735,55.3,1.17,108.82
1322727,325.4,347.8,295.3,347.8,322.8,21.5,12.41987071,100.43,4.49,136.11
1352531,6,12.5,14.3,14.3,10.9,3.5,2.048534778,87.64,1.94,136.47
1361261,-9.2,18.9,15.8,18.9,8.5,12.6,7.258275628,33.25,1.59,61.19
1361373,89.6,103.7,120.1,120.1,104.5,12.4,7.177389453,71.94,4.52,61.71
1361777,191.2,160.6,149.6,191.2,167.1,17.6,10.17442407,51.18,4,78.03
1363686,310.4,297.7,265.7,310.4,291.3,18.8,10.86511184,34.92,1.28,100.03
1370392,148.4,184.4,174.6,184.4,169.1,15.2,8.781864079,51.18,2.81,71.92
1394551,176.8,163.6,126.9,176.8,155.8,21.1,12.18756213,64.75,1.52,135.02
1638734,117.5,147.3,152.3,152.3,139,15.4,8.878774401,80.95,8.04,131.12
1638745,202.4,214.4,202.4,214.4,206.4,5.6,3.260118335,64.33,3.33,90.92
1638855,215.6,248.3,258.5,258.5,240.8,18.3,10.56824241,47.5,0.88,86.82
1641980,691.1,564.4,539.6,691.1,598.4,66.3,38.30399947,414.68,11.7,513
1643925,48.9,46.8,44.9,48.9,46.9,1.6,0.921998361,37.75,0.88,66.33
1687748,346.9,361.7,380.6,380.6,363,13.8,7.962081888,143.15,10.78,230.34
1689290,160.5,156.3,142.2,160.5,153,7.8,4.502877372,37.75,0.33,58.16
1712986,141.7,141,90.7,141.7,124.4,23.9,13.79175945,50.2,1.63,51.17
1713981,142.7,158.5,138.4,158.5,146.5,8.7,4.995159945,74.05,6.04,92.95
1866883,309.7,266.9,266.8,309.7,281.1,20.2,11.66085851,73.36,2.72,119.18
1868201,13.9,14.1,18.7,18.7,15.6,2.2,1.278025774,50.62,2.59,79.76
1894568,48.7,52.4,60,60,53.7,4.7,2.707302604,40.92,2.28,65.34
1894605,214.3,194.9,195.1,214.3,201.4,9.1,5.261028327,68.99,3.29,62.62
1894981,81.2,161.6,172.8,172.8,138.5,40.8,23.57494106,73.33,4.94,78.53
1895078,377.5,369.6,382.3,382.3,376.5,5.3,3.031931203,153.76,3.53,192.57
1895626,68.9,73.1,60.6,73.1,67.5,5.2,2.992381327,43.58,1.13,35.1
1895634,94.3,95,105.9,105.9,98.4,5.3,3.046993075,47.49,1.09,44.52
1896030,46.7,51.7,41,51.7,46.5,4.4,2.51749773,41.65,1.74,52.07
1896031,97.9,91.2,89.5,97.9,92.8,3.6,2.086062927,41.96,1.55,63.35
1896033,66.2,91.6,59.2,91.6,72.4,13.9,8.040795575,77.43,3.01,85.95
1896130,113.4,100.6,94.3,113.4,102.8,7.9,4.58155142,45.74,1.85,52.53
1896261,192.8,238.6,213.2,238.6,214.9,18.7,10.81605718,109.13,2.79,197.82
1896262,109.1,114.4,122.2,122.2,115.2,5.4,3.097450155,47.7,1.24,116.82
1896266,140.7,121.5,122.1,140.7,128.1,8.9,5.138816797,54.33,4.18,83.42
1896488,210.2,184.4,179.2,210.2,191.3,13.5,7.804817292,55.1,0.68,71.05
1898216,257.7,285.1,260.6,285.1,267.8,12.3,7.087792529,55.42,4.8,60.46
1898577,79.2,80.5,74.4,80.5,78,2.6,1.523270481,35.25,1.15,67.5
1901599,228.7,255.9,222.7,255.9,235.8,14.4,8.322042092,89.31,3.02,88.36
1904013,219.8,254,249.4,254,241.1,15.2,8.752619875,55.96,3.18,54.21
1904015,354.4,323.6,361.6,361.6,346.6,16.5,9.516452475,135.69,6.81,176.74
1904017,291,243.5,266.1,291,266.9,19.4,11.19279288,96.78,7.08,182.76
1904018,265.8,260.3,247.1,265.8,257.7,7.9,4.550610105,41.04,4.08,91.13
1914667,63.7,78.5,69.9,78.5,70.7,6.1,3.508546525,36.59,0.57,36.46
1932821,123.9,118.7,126.9,126.9,123.2,3.4,1.969208983,49.26,3.41,46.17
1933038,141,139,163.1,163.1,147.7,10.9,6.292596771,56.53,2.33,154.84
1933967,67.8,82.4,74.8,82.4,75,6,3.458640746,61.34,2.85,48.62
1934167,147.6,155.8,169.5,169.5,157.6,9,5.212552406,64.97,2.11,52.47
1934419,75.4,64.7,64.5,75.4,68.2,5.1,2.94406393,39.71,1.99,60.11
1934439,301.3,310.1,272.7,310.1,294.7,15.9,9.194457003,67.29,1.55,131.55
1936975,71.7,68.9,61.5,71.7,67.3,4.3,2.475952994,33.33,1.83,26.98
1940361,90.1,99.5,96,99.5,95.2,3.9,2.232999585,42.8,0.67,39.3
1940363,387.7,356.5,377.1,387.7,373.8,13,7.485962019,329.66,17.06,230.4
1940864,377,408.4,399.1,408.4,394.8,13.2,7.612439437,177.89,4.17,196.2
1941153,313.3,329.5,339.8,339.8,327.6,10.9,6.291100259,118.16,1.97,230.66
1941760,116.3,125,113,125,118.1,5.1,2.925218974,47.57,0.87,59.66
1950546,98,118.5,99.1,118.5,105.2,9.4,5.444100442,57.37,3.33,92.97
1979446,130.4,152.2,157.7,157.7,146.7,11.8,6.794924966,69.16,2.7,55.78
1980014,38.4,45.3,49.4,49.4,44.4,4.6,2.626992779,91.5,7.49,70.1
1980139,441.8,369.5,400.2,441.8,403.9,29.6,17.10154551,122.37,3.48,177.7
1980153,114.5,130.4,105,130.4,116.6,10.5,6.065814877,74.29,3.45,163.2
1980391,64.1,59.5,52.4,64.1,58.7,4.8,2.775297739,37.94,1.07,52.52
1981478,130.8,151.3,153.2,153.2,145.1,10.1,5.852081058,77.9,1.48,77.65
1985803,101.8,87.4,96.7,101.8,95.3,5.9,3.425975398,39.48,1.07,63.15
1986207,183.9,228.4,231.4,231.4,214.6,21.7,12.53960895,77.56,1.31,113.51
1989616,210.6,210.6,214,214,211.7,1.6,0.937439964,52.6,1.83,119.45
1989814,122.9,125.7,132.6,132.6,127.1,4.1,2.358518666,36.1,1.16,79.82
1992006,110.4,96.6,113.2,113.2,106.7,7.3,4.196792426,35.48,1.48,60.54
1992723,136.7,137.1,140,140,137.9,1.5,0.860516322,35.56,0.73,65.69
2009821,82.5,89.1,90.1,90.1,87.2,3.4,1.957869645,39.86,1.72,56.14
2028323,86.3,88.9,78.6,88.9,84.6,4.4,2.52386619,40.08,1.42,46.27
2028610,79.3,95.9,96.1,96.1,90.4,7.9,4.539281576,37.28,2.91,70.67
2028654,327.6,311.9,289.3,327.6,309.6,15.7,9.058227175,117.22,5.61,247.3
2029301,8.6,8.6,7.5,8.6,8.2,0.5,0.308614938,90.46,0.97,210.43
2032840,41.1,53.5,56.3,56.3,50.3,6.6,3.82438058,38.8,3.73,59.4
2032845,8.5,108,94.7,108,70.4,44.1,25.46665858,33.04,1.86,46.31
2068046,295.8,319.8,277.5,319.8,297.7,17.3,9.997125128,121.81,2.21,123.43
2068060,125.2,133.3,138.4,138.4,132.3,5.4,3.122541135,40.93,0.43,37.23
2097022,159.2,133.2,128.1,159.2,140.2,13.6,7.855986551,36.81,1.98,63.59
2098341,69.4,77.5,78.1,78.1,75,3.9,2.278953667,35.42,0.3,54.34
2106966,284.8,264.9,249,284.8,266.2,14.6,8.447413173,41.19,1.13,63.52
2111529,119.1,109.1,131.3,131.3,119.8,9.1,5.252727069,48.35,2.45,86.95
2113333,301.8,281.3,270.8,301.8,284.6,12.9,7.422572995,34.39,0.78,73.27
2113334,328.2,348.3,346.6,348.3,341,9.1,5.236412242,60.2,1.1,76.37
2114671,201,209,211.9,211.9,207.3,4.6,2.664844754,71.25,0.38,160.06
2119245,196.7,186.8,198.7,198.7,194.1,5.2,3.015073915,120.15,7.66,139.3
2121179,203.6,157.6,129.4,203.6,163.5,30.6,17.64458437,69.44,3.11,163.8
2121184,275,270.6,269.3,275,271.6,2.5,1.419425156,82.46,1.45,174.57
2121581,140.9,122.8,118.6,140.9,127.4,9.7,5.58514866,49.13,1.77,40.83
2124964,174,174.2,175.4,175.4,174.5,0.6,0.344714748,58.37,2.84,119.48
2124965,249.1,283.9,290.2,290.2,274.4,18.1,10.42918551,96.06,2.97,176.02
2129961,82.6,103.6,100.7,103.6,95.7,9.3,5.367977842,39.95,1.55,44.52
2130005,78.3,77,83.4,83.4,79.6,2.8,1.590478198,45.63,1.87,37.53
2130022,77.8,94.1,100.3,100.3,90.7,9.5,5.463705859,48.44,1.75,79.74
2130765,111.8,101.4,101.5,111.8,104.9,4.9,2.809101679,45.73,2.87,37.77
2131708,152.2,144.2,134.5,152.2,143.6,7.3,4.195864458,95.63,2.47,217.09
2131713,86.4,124.4,124.9,124.9,111.9,18,10.40704911,47.24,3.46,117.43
2214647,490.1,444.3,427.5,490.1,454,26.5,15.2910697,159.27,5.35,195.05
2214649,360.3,337.7,306.1,360.3,334.7,22.2,12.8286301,92.18,1.8,114.86
2292714,398.2,482.3,419.9,482.3,433.5,35.6,20.58240239,111.5,3.21,268.7
