Compound.ID,Max Activity
601224,454.35
1063001,110.5
2445846,53.06
2483402,63.46
1896030,52.07
1896262,116.82
2330894,93.23
1894978,303.87
2330624,241.76
196330,3.02
46207,30.33
1322727,136.11
2505491,168.31
830028,72.57
2581220,130.56
2553901,48.28
2393155,143.19
830204,26.56
2330740,207.02
830197,85.25
2716993,39.35
2581943,92.92
1896488,71.05
2332369,25.45
2432440,50.74
2335820,43.86
2513125,33.14
217892,149.97
2482953,74.22
590876,74.71
1985803,63.15
1021837,24.15
2483680,69.6
830202,64.65
2500739,26.92
2299821,157.32
1895634,44.52
2432437,31.51
2395712,28.51
2378956,106.15
1979446,55.78
2483420,56.34
1896031,63.35
2503563,63.99
2111529,86.95
1876721,40.41
2352869,95.31
2676177,88.65
1896130,52.53
2445847,64.15
1897786,100.09
2354140,66.34
2463629,160.64
2318920,66.24
2483645,136.68
23558,85.39
1022311,38.95
2469310,78.83
1394551,135.02
2370316,74.22
2339844,128.5
1896033,85.95
3172312,146.17
1643925,66.33
2314301,62.89
1894568,65.34
1894981,78.53
3353170,71.13
1940361,39.3
2351964,90.37
2430558,315.56
2009821,56.14
1896266,83.42
1896261,197.82
1713981,92.95
1370392,71.92
1022180,116.56
2032845,46.31
2482935,129.99
2658899,89.75
2514822,29.58
1980153,163.2
2458563,235.73
2032840,59.4
1980391,52.52
2934343,88.15
2068060,37.23
2415705,186.49
2499218,61.37
2415708,130.07
2502330,51.2
1941153,230.66
2028654,247.3
2490765,91.14
2380400,62.69
1979431,215.42
1988072,304.89
1980152,119.19
1980390,177.62
1548550,408.96
2028296,156.09
1495196,75.49
1022188,80.91
2381986,82.31
2445845,117.03
129050,124.51
2478658,140.71
1275449,36.24
2389739,193.79
2707652,122.97
1410667,306.09
1645432,1117.3
2215023,7023.52
1940862,90.84
2374036,33.59
215450,54.4
201082,167.93
2326277,84.87
2314315,78.2
2130005,37.53
2462077,82.98
2483399,174.15
2456926,40.01
2301149,97.38
2382061,44.04
2587242,148.88
2403329,37.29
3168217,85.65
2580903,51.17
2414259,54.3
2306797,216.47
2380966,141.36
2114671,160.06
1022119,176.93
2412699,106.04
1078007,38.71
2354143,150.81
1934112,173.72
2352992,225.32
2511162,144.84
2299738,59.14
2500857,40.29
2402758,176.12
2500751,53.42
2441732,69.18
2500773,37.56
2500792,83.05
2130022,79.74
502593,222.56
885092,50.12
2705843,95.47
1986207,113.51
1072868,53.03
2500779,56.79
1914837,218.66
2944195,129.07
49575,71.3
80821,299.2
1007724,-5.94
2500884,24.17
1233109,53.87
2509148,35.73
2455549,203.42
1992006,60.54
1933967,48.62
2929640,121.12
1138704,124.02
3355275,74.51
1934439,131.55
116748,218.32
1940864,196.2
1896126,77.37
2212878,319.38
1361777,78.03
1638745,90.92
1194250,80.96
1638855,86.82
1895626,35.1
1914667,36.46
3155993,103.75
1687748,230.34
2372368,301.22
2382439,65.38
1096636,166.23
2318734,265.88
2098066,138.26
1948743,71.97
1866883,119.18
1195216,35.43
1904018,91.13
1904017,182.76
1898216,60.46
1904015,176.74
1904013,54.21
2409187,73.98
1900769,77.29
2352020,55.05
2655647,93.68
2292714,268.7
1072872,27.99
1072879,67.46
