Compound.ID,Mean%Activity(n=3).UHTS,SE.UHTS,Max.Activity.UHTS
601224,243.73,8.83,454.35
1063001,100.10,3.59,110.50
2445846,38.28,1.66,53.06
2483402,39.70,0.32,63.46
1896030,41.65,1.74,52.07
1896262,47.70,1.24,116.82
2330894,57.57,1.14,93.23
1894978,107.73,4.78,303.87
2330624,63.12,2.18,241.76
196330,61.82,0.60,3.02
46207,48.16,2.53,30.33
1322727,100.43,4.49,136.11
2505491,64.19,2.29,168.31
830028,65.48,1.49,72.57
2581220,91.16,4.14,130.56
2553901,35.54,1.43,48.28
2393155,71.01,4.23,143.19
830204,55.99,2.47,26.56
2330740,89.83,3.30,207.02
830197,79.59,3.19,85.25
2716993,35.68,0.63,39.35
2581943,79.16,2.94,92.92
1896488,55.10,0.68,71.05
2332369,36.31,1.65,25.45
2432440,70.48,1.95,50.74
2335820,56.77,6.75,43.86
2513125,33.50,2.87,33.14
217892,101.41,4.15,149.97
2482953,41.58,0.37,74.22
590876,98.73,4.45,74.71
1985803,39.48,1.07,63.15
1021837,38.83,1.27,24.15
2483680,53.43,2.11,69.60
830202,42.26,0.87,64.65
2500739,44.31,1.86,26.92
2299821,91.68,3.13,157.32
1895634,47.49,1.09,44.52
2432437,40.50,0.67,31.51
2395712,34.81,1.38,28.51
2378956,78.53,1.51,106.15
1979446,69.16,2.70,55.78
2483420,45.00,0.45,56.34
1896031,41.96,1.55,63.35
2503563,36.98,2.84,63.99
2111529,48.35,2.45,86.95
1876721,36.93,0.54,40.41
2352869,67.94,3.74,95.31
2676177,85.74,2.08,88.65
1896130,45.74,1.85,52.53
2445847,58.05,2.87,64.15
1897786,87.16,2.06,100.09
2354140,45.86,4.24,66.34
2463629,80.28,2.71,160.64
2318920,50.38,3.44,66.24
2483645,131.28,5.52,136.68
23558,47.97,1.62,85.39
1022311,42.37,1.10,38.95
2469310,56.08,1.05,78.83
1394551,64.75,1.52,135.02
2370316,48.46,2.46,74.22
2339844,72.03,0.66,128.50
1896033,77.43,3.01,85.95
3172312,113.14,4.11,146.17
1643925,37.75,0.88,66.33
2314301,40.11,1.80,62.89
1894568,40.92,2.28,65.34
1894981,73.33,4.94,78.53
3353170,38.89,2.73,71.13
1940361,42.80,0.67,39.30
2351964,40.57,3.61,90.37
2430558,227.08,9.82,315.56
2009821,39.86,1.72,56.14
1896266,54.33,4.18,83.42
1896261,109.13,2.79,197.82
1713981,74.05,6.04,92.95
1370392,51.18,2.81,71.92
1022180,100.37,1.45,116.56
2032845,33.04,1.86,46.31
2482935,70.94,2.79,129.99
2658899,34.02,1.45,89.75
2514822,33.58,2.29,29.58
1980153,74.29,3.45,163.20
2458563,132.08,6.11,235.73
2032840,38.80,3.73,59.40
1980391,37.94,1.07,52.52
2934343,51.44,2.12,88.15
2068060,40.93,0.43,37.23
2415705,66.26,2.89,186.49
2499218,34.25,0.91,61.37
2415708,49.83,1.69,130.07
2502330,38.54,0.72,51.20
1941153,118.16,1.97,230.66
2028654,117.22,5.61,247.30
2490765,43.79,0.65,91.14
2380400,47.43,1.83,62.69
1979431,120.93,7.81,215.42
1988072,108.07,10.62,304.89
1980152,49.70,2.59,119.19
1980390,96.23,7.83,177.62
1548550,124.49,8.00,408.96
2028296,57.10,2.25,156.09
1495196,33.32,3.09,75.49
1022188,54.48,3.24,80.91
2381986,38.63,2.28,82.31
2445845,54.81,1.98,117.03
129050,99.02,2.68,124.51
2478658,53.89,2.88,140.71
1275449,39.42,1.24,36.24
2389739,64.97,0.37,193.79
2707652,36.55,2.05,122.97
1410667,48.16,2.61,306.09
1645432,103.87,3.18,1117.30
2215023,376.66,59.62,7023.52
1940862,35.49,1.00,90.84
2374036,47.87,1.14,33.59
215450,43.52,1.35,54.40
201082,140.96,3.19,167.93
2326277,82.27,0.96,84.87
2314315,63.91,4.12,78.20
2130005,45.63,1.87,37.53
2462077,75.41,2.38,82.98
2483399,94.51,2.21,174.15
2456926,40.17,1.25,40.01
2301149,45.15,3.52,97.38
2382061,35.43,2.50,44.04
2587242,65.49,4.75,148.88
2403329,35.66,0.96,37.29
3168217,68.72,2.46,85.65
2580903,38.50,1.11,51.17
2414259,41.87,1.49,54.30
2306797,85.55,4.11,216.47
2380966,69.98,0.62,141.36
2114671,71.25,0.38,160.06
1022119,36.93,3.64,176.93
2412699,36.42,2.82,106.04
1078007,38.47,2.12,38.71
2354143,51.18,1.52,150.81
1934112,38.16,1.42,173.72
2352992,57.14,2.86,225.32
2511162,38.53,3.91,144.84
2299738,33.19,0.60,59.14
2500857,34.93,1.45,40.29
2402758,86.66,2.28,176.12
2500751,54.24,1.11,53.42
2441732,68.12,2.13,69.18
2500773,55.46,2.02,37.56
2500792,99.99,2.88,83.05
2130022,48.44,1.75,79.74
502593,64.50,3.52,222.56
885092,42.54,4.24,50.12
2705843,50.58,0.95,95.47
1986207,77.56,1.31,113.51
1072868,61.85,5.13,53.03
2500779,37.34,1.48,56.79
1914837,105.59,6.42,218.66
2944195,74.68,2.37,129.07
49575,49.58,3.32,71.30
80821,37.38,1.25,299.20
1007724,35.02,14.32,-5.94
2500884,36.42,1.37,24.17
1233109,36.95,1.88,53.87
2509148,48.02,5.09,35.73
2455549,118.70,3.15,203.42
1992006,35.48,1.48,60.54
1933967,61.34,2.85,48.62
2929640,98.49,8.31,121.12
1138704,120.26,2.82,124.02
3355275,47.31,1.63,74.51
1934439,67.29,1.55,131.55
116748,104.21,14.66,218.32
1940864,177.89,4.17,196.20
1896126,35.28,1.12,77.37
2212878,126.03,16.77,319.38
1361777,51.18,4.00,78.03
1638745,64.33,3.33,90.92
1194250,62.35,1.78,80.96
1638855,47.50,0.88,86.82
1895626,43.58,1.13,35.10
1914667,36.59,0.57,36.46
3155993,40.31,0.72,103.75
1687748,143.15,10.78,230.34
2372368,178.82,0.37,301.22
2382439,42.26,5.12,65.38
1096636,112.58,21.07,166.23
2318734,165.99,5.42,265.88
2098066,46.34,3.50,138.26
1948743,41.55,2.04,71.97
1866883,73.36,2.72,119.18
1195216,51.76,0.94,35.43
1904018,41.04,4.08,91.13
1904017,96.78,7.08,182.76
1898216,55.42,4.80,60.46
