,Plate,8000172364,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Volume
1,A,646009#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 µL
2,B,2116907#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 µL
3,C,2201658#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 µL
4,D, , , , , , , , , , , , , , , , , , , , , , , , , , 
5,E, , , , , , , , , , , , , , , , , , , , , , , , , , 
6,F, , , , , , , , , , , , , , , , , , , , , , , , , , 
7,G, , , , , , , , , , , , , , , , , , , , , , , , , , 
8,H, , , , , , , , , , , , , , , , , , , , , , , , , , 
9,I, , , , , , , , , , , , , , , , , , , , , , , , , , 
10,J, , , , , , , , , , , , , , , , , , , , , , , , , , 
11,K, , , , , , , , , , , , , , , , , , , , , , , , , , 
12,L, , , , , , , , , , , , , , , , , , , , , , , , , , 
13,M, , , , , , , , , , , , , , , , , , , , , , , , , , 
14,N, , , , , , , , , , , , , , , , , , , , , , , , , , 
15,O, , , , , , , , , , , , , , , , , , , , , , , , , , 
16,P, , , , , , , , , , , , , , , , , , , , , , , , , , 
17,Concentrations, ,10 mM,5 mM,2.5 mM,1.25 mM,0.625 mM,0.3125 mM,0.15625 mM,0.078125 mM,0.0390625 mM,0.0195313 mM,0.00976563 mM,0.00488281 mM,0.00244141 mM,0.0012207 mM,0.000610352 mM,0.000305176 mM,0.000152588 mM,0.0000762939 mM,0.000038147 mM,0.0000190735 mM,0.00000953674 mM,0.00000476837 mM, , , 
