Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Norm.Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF
830027,915.3,1039.9,1043.2,1043.2,999.5,59.5,34.36630317
2436198,681.9,589.1,577.4,681.9,616.2,46.8,27.00375834
1641980,691.1,564.4,539.6,691.1,598.4,66.3,38.30399947
2455549,586.8,494.3,499.4,586.8,526.8,42.5,24.52227562
2549632,550.2,503.6,458.3,550.2,504.1,37.5,21.65502388
2306797,515.7,431.9,492.1,515.7,479.9,35.3,20.37565653
2214647,490.1,444.3,427.5,490.1,454.0,26.5,15.2910697
2292714,398.2,482.3,419.9,482.3,433.5,35.6,20.58240239
2494646,402.6,422.6,437.6,437.6,420.9,14.3,8.282291061
2396300,409.6,439.7,402.2,439.7,417.2,16.2,9.349388052
2372368,414.3,428.6,402.8,428.6,415.2,10.5,6.088089937
2581943,435.1,386.7,422.2,435.1,414.7,20.5,11.81761127
1980139,441.8,369.5,400.2,441.8,403.9,29.6,17.10154551
1940864,377.0,408.4,399.1,408.4,394.8,13.2,7.612439437
1895078,377.5,369.6,382.3,382.3,376.5,5.3,3.031931203
1940363,387.7,356.5,377.1,387.7,373.8,13.0,7.485962019
1687748,346.9,361.7,380.6,380.6,363.0,13.8,7.962081888
2678858,404.1,333.3,344.6,404.1,360.7,31.1,17.93391186
2458563,387.8,339.7,328.9,387.8,352.1,25.6,14.77865483
2402758,314.0,377.4,361.8,377.4,351.1,27.0,15.57343028
2483645,336.2,344.2,372.5,372.5,351.0,15.5,8.973741754
1904015,354.4,323.6,361.6,361.6,346.6,16.5,9.516452475
41262,391.0,289.6,358.1,391.0,346.2,42.2,24.37742398
2113334,328.2,348.3,346.6,348.3,341.0,9.1,5.236412242
1072862,317.3,351.0,353.7,353.7,340.7,16.6,9.571977997
824195,350.0,351.1,319.2,351.1,340.1,14.8,8.523276653
2214649,360.3,337.7,306.1,360.3,334.7,22.2,12.8286301
1194250,369.5,320.3,306.9,369.5,332.2,26.9,15.53675861
1941153,313.3,329.5,339.8,339.8,327.6,10.9,6.291100259
1322727,325.4,347.8,295.3,347.8,322.8,21.5,12.41987071
2483399,280.1,337.6,339.2,339.2,318.9,27.5,15.87517376
2028654,327.6,311.9,289.3,327.6,309.6,15.7,9.058227175
2068046,295.8,319.8,277.5,319.8,297.7,17.3,9.997125128
2655647,295.0,278.4,316.6,316.6,296.7,15.6,9.034828381
1934439,301.3,310.1,272.7,310.1,294.7,15.9,9.194457003
2482935,328.6,281.2,266.4,328.6,292.1,26.6,15.32895432
1363686,310.4,297.7,265.7,310.4,291.3,18.8,10.86511184
