Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF
830027,1024.6,1002.4,917.3,1024.6,981.45,46.27,26.71259551
2398441,764.0,602.2,640.3,764.0,668.81,69.06,39.87398434
2430559,503.0,365.6,400.5,503.0,423.01,58.35,33.68583204
2396300,416.4,352.2,375.7,416.4,381.43,26.52,15.30910217
2306797,444.9,344.9,314.7,444.9,368.18,55.66,32.13510156
2214649,334.4,313.5,324.3,334.4,324.09,8.55,4.936622132
2029301,366.3,248.9,254.3,366.3,289.83,54.13,31.24963513
2430558,225.5,248.6,238.1,248.6,237.42,9.45,5.45342151
2124964,253.3,189.5,179.0,253.3,207.26,32.85,18.96725672
1901599,223.5,206.3,187.6,223.5,205.80,14.64,8.455288623
2393155,182.9,134.5,146.3,182.9,154.55,20.62,11.90541737
2581220,156.4,143.6,147.1,156.4,149.01,5.41,3.125822665
2459416,123.2,95.0,105.8,123.2,108.01,11.63,6.715705108
2712145,89.0,81.1,61.0,89.0,77.04,11.76,6.788752568
2093243,88.1,62.4,67.0,88.1,72.47,11.18,6.455221853
2414258,66.0,60.7,55.8,66.0,60.81,4.15,2.396192217
1901602,56.9,64.6,59.5,64.6,60.33,3.21,1.853012246
1901596,72.2,50.3,51.5,72.2,58.04,10.05,5.803615675
2709505,53.9,51.2,52.6,53.9,52.59,1.09,0.628010505
1898574,62.3,41.2,41.7,62.3,48.40,9.83,5.674807173
2214648,58.4,36.7,40.3,58.4,45.10,9.49,5.479920435
1901604,54.1,38.1,39.7,54.1,43.97,7.16,4.136417896
1899015,42.0,37.5,38.6,42.0,39.35,1.89,1.089913258
2067512,42.3,28.3,32.4,42.3,34.34,5.90,3.40373918
2414266,40.5,25.1,32.4,40.5,32.66,6.30,3.639801434
2121195,34.9,30.6,28.8,34.9,31.41,2.55,1.472059575
2470769,34.1,31.1,22.6,34.1,29.27,4.89,2.820368034
1935010,26.4,34.4,25.9,34.4,28.89,3.91,2.255498048
2032629,39.3,24.1,23.1,39.3,28.82,7.40,4.269911508
2101290,31.4,25.2,24.0,31.4,26.87,3.26,1.879276671
1901594,26.0,26.5,27.0,27.0,26.52,0.42,0.24140243
2414261,65.5,5.3,8.7,65.5,26.51,27.58,15.92481815
678798,28.9,20.1,25.1,28.9,24.68,3.58,2.067960832
2092896,27.7,24.7,19.7,27.7,24.05,3.30,1.903535925
2373199,27.9,22.8,20.1,27.9,23.62,3.23,1.867549845
2339592,30.2,17.7,21.1,30.2,22.99,5.28,3.045918465
2101282,27.7,15.1,23.8,27.7,22.21,5.27,3.041207761
2102681,27.4,15.0,24.0,27.4,22.13,5.25,3.033708361
2339686,28.0,15.8,20.9,28.0,21.58,5.02,2.89805093
1149032,26.3,19.7,16.7,26.3,20.88,4.00,2.306919472
2429882,18.8,19.4,23.7,23.7,20.62,2.20,1.271185661
2100287,24.4,18.2,18.4,24.4,20.34,2.84,1.638505875
1086869,31.3,12.1,16.8,31.3,20.05,8.15,4.704291814
2093100,26.7,15.3,17.3,26.7,19.80,4.98,2.875544908
2067408,26.3,19.5,13.3,26.3,19.69,5.34,3.083667512
2373331,21.1,19.3,18.7,21.1,19.68,1.02,0.588572024
2124966,17.3,19.1,22.7,22.7,19.67,2.25,1.299609675
2430678,24.2,16.5,17.9,24.2,19.56,3.34,1.925578033
2119248,23.6,15.0,19.5,23.6,19.35,3.48,2.008691024
2458293,27.4,16.6,13.5,27.4,19.19,5.97,3.447778834
1156303,23.8,14.8,18.3,23.8,18.98,3.70,2.136668349
1156304,17.7,19.0,20.0,20.0,18.88,0.96,0.556756673
2339844,20.1,16.6,19.3,20.1,18.63,1.50,0.866309648
2372798,17.5,21.1,15.0,21.1,17.87,2.51,1.449869417
1941769,15.0,23.1,14.1,23.1,17.38,4.05,2.335954328
2214653,19.7,17.9,14.4,19.7,17.36,2.19,1.264860214
2549189,22.3,11.9,16.8,22.3,17.04,4.25,2.452399735
2029925,21.7,13.4,15.1,21.7,16.77,3.58,2.067590113
2213833,20.8,15.4,12.1,20.8,16.09,3.58,2.068966737
1899514,18.3,18.2,10.4,18.3,15.63,3.73,2.151808293
2480029,15.2,14.5,16.6,16.6,15.46,0.85,0.488360605
1899010,19.9,13.5,12.6,19.9,15.31,3.24,1.870919601
862848,18.7,11.8,15.3,18.7,15.25,2.84,1.639324644
207084,14.1,12.1,18.0,18.0,14.74,2.47,1.426143287
1712925,16.2,18.3,9.2,18.3,14.57,3.89,2.246810158
2537791,17.7,15.1,10.8,17.7,14.54,2.83,1.632573323
2510378,13.8,15.0,13.6,15.0,14.14,0.65,0.372510934
2095990,16.6,18.0,7.1,18.0,13.88,4.86,2.805551323
830559,15.3,14.5,11.7,15.3,13.84,1.56,0.900890924
2373258,13.3,14.7,13.3,14.7,13.77,0.69,0.397890585
2093242,18.5,13.5,8.9,18.5,13.64,3.94,2.276654672
2068423,17.3,11.0,12.1,17.3,13.47,2.75,1.589096435
2373388,12.5,16.5,10.2,16.5,13.04,2.59,1.496624058
80595,12.9,12.5,13.3,13.3,12.90,0.35,0.200315939
2414278,24.1,6.0,8.5,24.1,12.86,8.02,4.627696576
1101561,10.1,12.0,16.4,16.4,12.82,2.62,1.515474982
2414263,19.4,9.3,8.6,19.4,12.45,4.95,2.858575354
2380595,11.8,10.8,13.4,13.4,12.01,1.06,0.614439131
2517560,12.4,13.9,9.6,13.9,11.96,1.80,1.037582646
2372363,12.1,11.7,11.5,12.1,11.76,0.24,0.137306921
2093929,13.1,13.5,8.5,13.5,11.71,2.30,1.329103103
2489934,15.5,8.5,10.3,15.5,11.46,2.97,1.715425271
2384900,12.7,6.2,14.9,14.9,11.27,3.67,2.118707641
2405666,16.1,9.3,7.2,16.1,10.87,3.84,2.214466101
1713405,12.3,14.5,5.6,14.5,10.78,3.79,2.187023213
2339689,18.0,11.1,3.2,18.0,10.74,6.05,3.492341411
2385760,10.6,14.9,5.9,14.9,10.49,3.69,2.129586853
2029545,20.1,4.5,6.7,20.1,10.42,6.89,3.977183809
2372370,14.2,11.0,5.9,14.2,10.35,3.42,1.973623418
2372339,10.0,10.6,10.4,10.6,10.33,0.26,0.148626308
2212846,6.0,8.4,16.4,16.4,10.28,4.45,2.570693373
2414277,14.5,9.8,6.1,14.5,10.15,3.42,1.972476543
2114195,14.1,9.5,6.6,14.1,10.08,3.06,1.76690144
2212803,13.8,8.8,7.5,13.8,10.01,2.69,1.554449107
2585102,18.0,5.7,6.4,18.0,10.00,5.65,3.260195173
2033463,15.5,8.1,6.5,15.5,10.00,3.92,2.26548832
2098293,9.1,10.9,8.7,10.9,9.58,0.97,0.561625856
2414275,10.9,9.4,8.3,10.9,9.51,1.08,0.620819274
1935011,6.1,8.6,13.7,13.7,9.46,3.15,1.820060088
1047858,11.6,8.7,7.7,11.6,9.34,1.66,0.956497276
2214663,11.5,7.5,8.8,11.5,9.29,1.67,0.963896463
2357289,10.9,8.7,7.7,10.9,9.08,1.34,0.771546129
2092890,8.5,7.7,10.3,10.3,8.82,1.07,0.619477368
2357333,8.5,8.9,8.8,8.9,8.71,0.16,0.089671117
2339590,13.7,6.6,5.3,13.7,8.53,3.69,2.131955675
2092897,6.1,9.9,9.4,9.9,8.46,1.69,0.974852659
2583783,7.3,6.1,11.7,11.7,8.38,2.42,1.398779672
2459607,11.0,1.5,12.4,12.4,8.29,4.85,2.797581355
2538637,8.0,9.5,7.4,9.5,8.28,0.89,0.511873571
2098285,11.2,7.2,6.3,11.2,8.22,2.17,1.25111291
2214665,7.4,7.1,10.0,10.0,8.17,1.33,0.766960051
1154001,7.0,5.4,11.8,11.8,8.03,2.72,1.570767015
1796410,7.3,10.1,6.6,10.1,8.00,1.48,0.852920632
2121204,11.3,7.1,5.4,11.3,7.94,2.51,1.447374671
2373387,11.4,6.2,5.3,11.4,7.65,2.68,1.54449235
2414282,12.1,5.2,5.7,12.1,7.64,3.16,1.821614661
1086893,7.5,13.3,1.9,13.3,7.57,4.66,2.687666548
2579739,9.6,7.1,5.3,9.6,7.34,1.77,1.023858439
1477511,5.9,8.5,7.3,8.5,7.22,1.04,0.599811059
